	1	allele_10_IN_NC_012469.fna	allele_11_IN_NC_014251.fna	allele_12_IN_NC_003028.fna	allele_13_IN_18.spades_contigs.fasta	allele_14_IN_47.spades_contigs.fasta	allele_15_IN_25.spades_contigs.fasta	allele_16_IN_11.spades_contigs.fasta	allele_17_IN_9.spades_contigs.fasta	allele_18_IN_30.spades_contigs.fasta	allele_19_IN_41.spades_contigs.fasta	allele_20_IN_23.spades_contigs.fasta	allele_21_IN_36.spades_contigs.fasta	allele_22_IN_43.spades_contigs.fasta	allele_23_IN_14.spades_contigs.fasta	allele_24_IN_28.spades_contigs.fasta	allele_25_IN_50.spades_contigs.fasta	allele_26_IN_22.spades_contigs.fasta	allele_27_IN_7.spades_contigs.fasta	allele_28_IN_ERR124225.fa	allele_29_IN_ERR068020.fa	allele_2_IN_NC_008533.fna	allele_30_IN_ERR068021.fa	allele_31_IN_ERR069785.fa	allele_32_IN_ERR067986.fa	allele_33_IN_ERR069829.fa	allele_34_IN_ERR069722.fa	allele_35_IN_ERR067972.fa	allele_36_IN_ERR068041.fa	allele_37_IN_ERR129057.fa	allele_38_IN_ERR124263.fa	allele_39_IN_ERR124233.fa	allele_3_IN_NC_010380.fna	allele_40_IN_ERR129049.fa	allele_41_IN_ERR067961.fa	allele_42_IN_ERR129177.fa	allele_43_IN_ERR068023.fa	allele_44_IN_ERR068009.fa	allele_45_IN_ERR069811.fa	allele_46_IN_ERR129215.fa	allele_47_IN_ERR129186.fa	allele_48_IN_ERR129207.fa	allele_49_IN_ERR068039.fa	allele_4_IN_NC_017591.fna	allele_50_IN_ERR068010.fa	allele_51_IN_ERR129064.fa	allele_52_IN_ERR069769.fa	allele_53_IN_ERR124254.fa	allele_54_IN_ERR068040.fa	allele_55_IN_ERR129052.fa	allele_56_IN_ERR069790.fa	allele_57_IN_ERR069753.fa	allele_58_IN_ERR069810.fa	allele_59_IN_ERR067984.fa	allele_5_IN_NC_012466.fna	allele_60_IN_ERR069718.fa	allele_61_IN_ERR069692.fa	allele_62_IN_ERR069758.fa	allele_63_IN_ERR069797.fa	allele_64_IN_ERR124226.fa	allele_65_IN_ERR069800.fa	allele_66_IN_ERR129210.fa	allele_67_IN_ERR129213.fa	allele_68_IN_ERR069723.fa	allele_69_IN_ERR069717.fa	allele_6_IN_NC_012467.fna	allele_70_IN_ERR129144.fa	allele_7_IN_NC_021003.fna	allele_8_IN_NC_021006.fna	allele_9_IN_NC_017769.fna
1	1.0	0.0	0.653272101033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.610926541159	0.63846737481	0.630690161527	0.0	0.0	0.607764876633	0.0	0.624086186995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.627556512379	0.0	0.0	0.0	0.0	0.0	0.609594095941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.619713261649	0.0	0.648309912647	0.0	0.0	0.0	0.0	0.0	0.0	0.616519174041	0.0	0.0
allele_10_IN_NC_012469.fna	0.0	1.0	0.0	0.6248606466	0.631632914637	0.73110865968	0.0	0.636035105834	0.720338983051	0.0	0.0	0.0	0.0	0.0	0.0	0.611269614836	0.0	0.0	0.0	0.722655200215	0.652150963315	0.735398958048	0.730425055928	0.679967646266	0.718526663002	0.686133333333	0.697291259425	0.72917815775	0.731491712707	0.700638637573	0.688882964543	0.99716713881	0.730990941532	0.992905788876	0.760349197409	0.760307079898	0.649211862143	0.604951560818	0.693256578947	0.643380429095	0.690749133564	0.689066666667	0.736225087925	0.0	0.693172690763	0.0	0.713798008535	0.615125615126	0.672670982269	0.711220643665	0.735072463768	0.70245677889	0.659011164274	0.720493247211	0.737619699042	0.789779326365	0.683559577677	0.741462037821	0.0	0.689004376368	0.0	0.762013079329	0.648410366017	0.714079630698	0.727272727273	0.0	0.692472542191	0.0	0.717006802721	0.924464831804
allele_11_IN_NC_014251.fna	0.708299096138	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.702338766832	0.0	0.772609819121	0.79779969651	0.798091042584	0.626530612245	0.723965763195	0.763425253991	0.700106345268	0.784532512505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.661643344098	0.0	0.0	0.0	0.0	0.0	0.771955719557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65017921147	0.0	0.813900493733	0.0	0.0	0.0	0.0	0.0	0.0	0.780235988201	0.0	0.0
allele_12_IN_NC_003028.fna	0.0	0.68611898017	0.620359739763	1.0	0.0	0.675951461666	0.0	0.0	0.666211044286	0.0	0.0	0.61830933924	0.6437784522	0.645007342144	0.0	0.0	0.611393323657	0.0	0.631781454406	0.647406611126	0.0	0.686591719221	0.661912751678	0.644917767592	0.653930731171	0.615733333333	0.672717118123	0.632101489244	0.638397790055	0.643959552954	0.618501732871	0.688101983003	0.623387318144	0.688138479001	0.631934666291	0.658515780495	0.602992252204	0.0	0.654057017544	0.0	0.620634497467	0.615466666667	0.733001172333	0.621771217712	0.629183400268	0.0	0.662019914651	0.0	0.601182099634	0.704552044071	0.72231884058	0.739460115256	0.0	0.788314738696	0.624897400821	0.655923344948	0.646455505279	0.690939881456	0.0	0.644967177243	0.66008355488	0.656809781063	0.602190756078	0.69705712637	0.796579657966	0.0	0.628448968658	0.626843657817	0.619591836735	0.647094801223
allele_13_IN_18.spades_contigs.fasta	0.0	0.675637393768	0.0	0.0	1.0	0.88472145615	0.874512670565	0.934950955085	0.886550027337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.663531308788	0.661388229084	0.724705237181	0.618568232662	0.689134537611	0.684716877405	0.639466666667	0.673275621335	0.642305570877	0.64861878453	0.855508249069	0.642228739003	0.67790368272	0.645896239363	0.677355278093	0.667980850465	0.622974125675	0.652150681272	0.0	0.663925438596	0.704604918891	0.64382831245	0.6424	0.854923798359	0.0	0.701740294511	0.0	0.685633001422	0.715876715877	0.614973262032	0.621049579588	0.63768115942	0.70457992114	0.647527910686	0.709336465062	0.627633378933	0.644599303136	0.670889894419	0.68727067457	0.0	0.706783369803	0.0	0.624680125107	0.651349185146	0.678303519908	0.719471947195	0.0	0.701044736137	0.0	0.656326530612	0.65749235474
allele_14_IN_47.spades_contigs.fasta	0.0	0.726912181303	0.0	0.624303232999	0.852089207895	1.0	0.793859649123	0.863706763036	0.934663750683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.699543133566	0.650303510161	0.782835207019	0.677852348993	0.727419789701	0.719351291919	0.673866666667	0.728288187657	0.696635410921	0.702762430939	0.869611495476	0.676352972541	0.729178470255	0.68377710678	0.723893303065	0.72317656998	0.67529144157	0.704247929468	0.0	0.715460526316	0.643380429095	0.678219141562	0.6768	0.876611957796	0.0	0.731191432396	0.0	0.742816500711	0.667184667185	0.676048409795	0.663380690055	0.68	0.712162572035	0.655183413078	0.755431591309	0.687277701778	0.697444831591	0.678431372549	0.739486311036	0.0	0.766411378556	0.0	0.676997441001	0.703980764093	0.713791113676	0.767176717672	0.0	0.730243771765	0.0	0.711292517007	0.708562691131
allele_15_IN_25.spades_contigs.fasta	0.0	0.664305949008	0.0	0.0	0.887464752628	0.864037506895	1.0	0.890036138358	0.867140513942	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63289438323	0.0	0.741157115437	0.608780760626	0.656780803451	0.640461792194	0.607466666667	0.662384808713	0.634859349145	0.640055248619	0.851782863225	0.609170887763	0.66657223796	0.637112270107	0.667139614075	0.615319628274	0.612738129087	0.600854929201	0.0	0.668585526316	0.674254317111	0.611303652359	0.6104	0.848182883939	0.0	0.653815261044	0.0	0.675106685633	0.701372701373	0.0	0.612641345317	0.630144927536	0.696997270246	0.639553429027	0.701115678215	0.635294117647	0.0	0.663046757164	0.676545300593	0.0	0.687910284464	0.0	0.614444128519	0.600053433075	0.66935949221	0.712271227123	0.0	0.653094026252	0.0	0.632925170068	0.621406727829
allele_16_IN_11.spades_contigs.fasta	0.0	0.66940509915	0.0	0.0	0.923352986414	0.88499724214	0.866959064327	1.0	0.890103881903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.663262563827	0.657957244656	0.730463394571	0.615212527964	0.689943380965	0.687740516767	0.638133333333	0.672996369729	0.641202426917	0.646685082873	0.853645556147	0.640095974407	0.671954674221	0.646719736481	0.671112372304	0.660658969304	0.620983793005	0.650814854395	0.0	0.680372807018	0.704081632653	0.642228739003	0.64	0.851992966002	0.0	0.700401606426	0.0	0.679374110953	0.716394716395	0.614410357444	0.617570310235	0.634782608696	0.701850166818	0.647527910686	0.709336465062	0.663474692202	0.637921022067	0.667873303167	0.687552921253	0.0	0.705415754923	0.0	0.622974125675	0.649746192893	0.677726485863	0.719171917192	0.0	0.70184837932	0.0	0.652517006803	0.650152905199
allele_17_IN_9.spades_contigs.fasta	0.0	0.72209631728	0.0	0.619565217391	0.862342988977	0.942912300055	0.801900584795	0.876613319566	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.694705724268	0.646080760095	0.778173841514	0.673657718121	0.723105958479	0.715777899945	0.670133333333	0.722982407149	0.69222283508	0.698066298343	0.863757317722	0.671820847774	0.72492917847	0.679385122152	0.72020431328	0.718952407772	0.671026442991	0.700774779589	0.0	0.711348684211	0.640240711669	0.673687016796	0.6728	0.872508792497	0.0	0.726639892905	0.0	0.738549075391	0.662781662782	0.670137911624	0.657581907799	0.674492753623	0.706399757355	0.650079744817	0.725778038755	0.68317373461	0.692508710801	0.673906485671	0.735252610782	0.0	0.762308533917	0.0	0.672732442423	0.699973283462	0.708597807271	0.736873687369	0.0	0.726225555853	0.0	0.706394557823	0.685626911315
allele_18_IN_30.spades_contigs.fasta	0.656943303205	0.0	0.726750861079	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.728121353559	0.832779623477	0.857738998483	0.841776798825	0.766326530612	0.88302425107	0.823657474601	0.997164126196	0.836860330896	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.70254754216	0.0	0.0	0.0	0.0	0.0	0.836900369004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.692114695341	0.0	0.830231674896	0.0	0.0	0.0	0.0	0.608940397351	0.0	0.839233038348	0.0	0.0
